RA,DEC
19:44:46,-14:52:21.2
19:44:48,-14:52:15.4
19:44:48,-14:50:52.5
19:44:50,-14:43:33.5
19:44:50,-14:46:37.9
19:44:50,-14:44:10.0
19:44:53,-14:45:40.1
19:44:53,-14:45:52.6
19:44:54,-14:44:24.3
19:44:54,-14:48:06.2
19:44:55,-14:51:27.1
19:44:56,-14:51:55.4
19:44:56,-14:47:19.6
19:44:57,-14:49:20.2
19:45:00,-14:45:15.4
19:45:04,-14:43:37.6
19:44:50,-14:53:27.3
19:44:52,-14:46:16.7
19:44:53,-14:54:06.5
19:44:54,-14:46:17.9
19:44:54,-14:52:45.8
19:44:55,-14:43:47.8
19:44:55,-14:52:16.3
19:44:55,-14:46:07.1
19:44:55,-14:43:44.8
19:44:55,-14:52:29.2
19:44:56,-14:51:09.4
19:44:57,-14:49:27.0
19:44:57,-14:51:41.1
19:44:57,-14:54:08.0
19:44:58,-14:49:53.1
19:44:58,-14:48:47.9
19:44:58,-14:44:56.0
19:44:58,-14:45:27.8
19:44:58,-14:54:58.8
19:44:59,-14:50:07.4
19:44:59,-14:49:55.0
19:44:59,-14:51:06.8
19:45:00,-14:49:01.7
19:45:00,-14:41:04.8
19:45:00,-14:53:33.3
19:45:01,-14:48:26.5
19:45:01,-14:52:34.3
19:45:01,-14:54:37.7
19:45:03,-14:42:24.5
19:45:04,-14:42:47.6
19:45:04,-14:54:06.2
19:45:05,-14:54:22.8
19:45:06,-14:55:47.6
19:45:06,-14:55:17.3
19:45:06,-14:55:37.0
19:45:06,-14:51:35.5
19:45:07,-14:51:07.1
19:45:08,-14:54:35.9
19:45:10,-14:53:44.6
19:45:15,-14:48:03.9
